#{"t_start": 1772989638.5867548, "env_id": "None"}
r,l,t
-3560.0,688,3708.536369
-3742.0,688,3719.170696
-3620.0,688,3729.195858
-3305.0,688,3740.160095
-4175.0,688,3750.473831
-3678.0,687,3761.034003
-3461.0,688,3772.402291
-3898.0,687,3782.694664
-3730.0,688,3792.934322
-3180.0,687,3804.160354
-3892.0,688,3814.422984
-3946.0,686,3824.686727
-3752.0,688,3835.981118
-3723.0,688,3846.225898
-3516.0,688,3856.411669
-3608.0,687,3867.684753
-3214.0,688,3877.88934
-3816.0,688,3888.35467
-3737.0,688,3899.831166
-3279.0,687,3910.072725
-3127.0,688,3920.278125
-3560.0,687,3931.54098
-3843.0,688,3941.868282
-3834.0,686,3952.140313
-3913.0,688,3963.834675
-4101.0,687,3974.237806
-3696.0,688,3984.39924
-3603.0,688,3995.735827
-4210.0,688,4005.923315
-3427.0,687,4016.071907
-3625.0,688,4027.606688
-3117.0,687,4037.804103
-3496.0,688,4047.966325
-3574.0,688,4059.550838
-3772.0,687,4069.831239
-3854.0,689,4080.028169
-3532.0,687,4091.405786
-3699.0,688,4101.799517
-3192.0,688,4112.053717
-3793.0,688,4123.316993
-4267.0,686,4133.902064
-3566.0,687,4144.104855
-3478.0,686,4155.452143
-3862.0,689,4165.597177
-4086.0,688,4175.804572
-3839.0,687,4187.055439
-4006.0,688,4197.631019
-3147.0,688,4208.794206
-3660.0,688,4218.925007
-3395.0,686,4229.058285
-3512.0,686,4240.240038
-3601.0,688,4250.379189
-4000.0,686,4260.62122
-3756.0,686,4271.978921
-3708.0,687,4282.181847
-3437.0,687,4292.437201
-3677.0,688,4303.705647
-3222.0,688,4313.969838
-3454.0,688,4324.234059
-3659.0,686,4335.667975
-4239.0,687,4345.883439
-3727.0,688,4356.104361
-3767.0,688,4367.425712
-3632.0,687,4377.548558
-3323.0,688,4387.733738
-3619.0,688,4398.978866
-3801.0,688,4409.112579
-3529.0,688,4419.364111
-3307.0,688,4430.644936
-3310.0,688,4440.790861
-3421.0,688,4451.359941
-3559.0,688,4462.685511
-3791.0,686,4472.835031
-3334.0,688,4483.201761
-3199.0,687,4494.494457
-3305.0,688,4504.609865
-3768.0,686,4514.824718
-3913.0,687,4526.206816
-3168.0,688,4536.449369
-3648.0,689,4546.708758
-3415.0,688,4557.960098
-3631.0,688,4568.145264
-3612.0,687,4578.370314
-3948.0,688,4589.857888
-3408.0,688,4600.106988
-4119.0,688,4610.361658
-3724.0,686,4621.65529
-3699.0,688,4631.963677
-3748.0,688,4642.266858
-3410.0,686,4653.57786
-3553.0,688,4663.740619
-3644.0,687,4673.954943
-3496.0,688,4685.219064
-3295.0,688,4695.441943
-3258.0,688,4705.58396
-3738.0,688,4716.834491
-3897.0,687,4727.128097
-3214.0,688,4737.367002
-3495.0,686,4748.635967
-3600.0,687,4758.893786
-3761.0,687,4769.112235
-3271.0,688,4780.236152
-3249.0,688,4790.378429
-3427.0,687,4800.639952
-4284.0,687,4811.859682
-3690.0,688,4822.04751
-3947.0,688,4832.217717
-3645.0,688,4843.508747
-3641.0,688,4853.835511
-3520.0,688,4864.016101
-3359.0,687,4875.469036
-3877.0,688,4885.760407
-3519.0,688,4895.945553
-3561.0,688,4907.151226
-3643.0,687,4918.346993
-3492.0,688,7879.767415
-3307.0,688,7892.587794
-3721.0,687,7902.906439
-3444.0,687,7913.347395
-3148.0,688,7924.264197
-3103.0,688,7934.285788
-3532.0,688,7944.456601
-3944.0,688,7955.287796
-3159.0,687,7965.287985
-3578.0,687,7975.464464
-3483.0,687,7986.73472
-3578.0,688,7997.036781
-3604.0,688,8007.42145
-3294.0,687,8018.679692
-3163.0,688,8028.928344
-3419.0,687,8039.278997
-4003.0,688,8051.091022
-3929.0,688,8061.263826
-3849.0,688,8071.479323
-3628.0,686,8082.843423
-3262.0,688,8093.135435
-4108.0,688,8103.461779
-3428.0,688,8114.668753
-3415.0,687,8124.864785
-4019.0,688,8135.192082
-3919.0,686,8146.945118
-3324.0,688,8157.132768
-3252.0,688,8167.370963
