#{"t_start": 1774530457.6146696, "env_id": "None"}
r,l,t
-3299.0,688,3866.207203
-3823.0,687,3879.375561
-3683.0,687,3892.517462
-3537.0,688,3910.941129
-3869.0,689,3924.992305
-3583.0,688,3939.729657
-3899.0,686,3961.526875
-3124.0,688,3979.581968
-3512.0,688,3992.981174
-3790.0,687,4011.048936
-3472.0,687,4024.425139
-3486.0,687,4038.080616
-3896.0,687,4056.514705
-4058.0,688,4070.142822
-4053.0,688,4083.625656
-3479.0,688,4101.967143
-3634.0,686,4115.47237
-3573.0,688,4129.05116
-3830.0,688,4147.613946
-3989.0,688,4161.896242
-3781.0,686,4175.739661
-3734.0,687,4194.496716
-3452.0,688,4208.807196
-2974.0,687,4222.56118
-3963.0,687,4241.181165
-3723.0,688,4254.853877
-3209.0,687,4268.40885
-3294.0,687,4286.79944
-3676.0,688,4300.335132
-4199.0,688,4313.996979
-3891.0,686,4332.351327
-3798.0,688,4345.943613
-3595.0,688,4359.455658
-3870.0,687,4378.064185
-3356.0,688,4391.7109
-3845.0,688,4405.528137
-3406.0,686,4424.082192
-3583.0,687,4437.492081
-3623.0,687,4451.063875
-3689.0,687,4471.696423
-3440.0,688,4485.638633
-3044.0,688,4499.502855
-3573.0,688,4517.969373
-4522.0,686,4531.733508
-2942.0,688,4545.565944
-4224.0,686,4564.143235
-3562.0,688,4578.050721
-3715.0,686,4591.870775
-3524.0,688,4610.576348
-3448.0,688,4626.542652
-3666.0,688,4640.843592
-3491.0,688,4660.069073
-3592.0,688,4673.87608
-3723.0,687,4687.637065
-3736.0,688,4707.833399
-3637.0,688,4721.056446
-3431.0,686,4738.63622
-3578.0,687,4751.817144
-3713.0,687,4764.93892
-3052.0,688,4782.510398
-3477.0,688,4795.596157
-3226.0,688,4808.717476
-3799.0,687,4826.310593
-3656.0,686,4839.683038
-3919.0,688,4852.982486
-3668.0,688,4871.479635
-3333.0,688,4883.803158
-3940.0,687,4896.671633
-3500.0,687,5621.202189
-4017.0,686,5635.709437
-3806.0,686,5648.671124
-4384.0,687,5669.126279
-3568.0,688,5683.765749
-4185.0,686,5696.856512
-4379.0,687,5713.805756
-3383.0,687,5726.502545
-3500.0,688,5739.166011
-3702.0,688,5756.330126
-3414.0,687,5769.474012
-4205.0,687,5783.35148
-4092.0,687,5800.466371
-3296.0,687,5814.806629
-3847.0,688,5832.175216
-3991.0,688,5856.057525
-3535.0,688,5870.083405
-3510.0,688,5883.409183
-3470.0,688,5902.712579
-4000.0,687,5916.773153
-4022.0,688,5931.500793
-3254.0,688,5951.227711
-3815.0,688,5965.18874
-3527.0,688,5979.604466
-3190.0,687,5998.894944
-3845.0,689,6012.501317
-3837.0,688,6025.875986
-3765.0,688,6044.664882
-3298.0,688,6058.228183
-3510.0,688,6071.559237
-3893.0,688,6090.689402
-3543.0,687,6106.303812
-3779.0,686,6119.795773
-3358.0,688,6137.645458
-3997.0,688,6150.776138
-4423.0,687,6164.11089
-3900.0,689,6181.834679
-3864.0,687,6195.071066
-3328.0,688,6208.331163
-3573.0,688,6226.244544
-3574.0,688,6239.397731
-3536.0,688,6253.390465
-3696.0,688,6273.426211
-3599.0,686,6287.559137
-3464.0,688,6301.278468
-3442.0,688,6319.629768
-3585.0,688,6334.091734
-3783.0,688,6348.332287
-3553.0,688,6367.570896
-3686.0,688,6381.275245
-3681.0,687,6396.136229
-3705.0,686,6416.355984
-4035.0,687,6430.016695
-3239.0,688,6444.964246
-3883.0,686,6468.559383
-3840.0,686,6486.862934
-3771.0,687,6505.367518
-3349.0,688,6526.868538
-3438.0,688,6540.72992
-3718.0,688,6555.975787
-3882.0,688,6581.643713
-3288.0,688,6601.518039
-3963.0,688,6617.508835
-3201.0,688,6636.971987
-3143.0,688,6650.690619
-3928.0,688,6664.656736
-3827.0,688,6683.079463
-3731.0,687,6698.313755
-3347.0,688,6713.910942
-3482.0,688,6733.188189
-3620.0,688,6752.732707
-3787.0,688,6767.443208
-3178.0,688,6785.401418
-3881.0,687,6800.528065
-3736.0,688,6820.09233
-3727.0,687,6839.956063
-3741.0,687,6855.614959
-3585.0,686,6869.384679
-3485.0,688,6888.389333
-4359.0,688,6901.656472
-3291.0,687,6914.738329
-3344.0,688,6932.442219
-3289.0,688,6945.674779
-3599.0,688,6958.843444
-3524.0,687,6977.026553
-3796.0,687,6991.271501
-3679.0,688,7004.805855
-3981.0,688,7022.961937
-3365.0,687,7035.757488
-3857.0,688,7049.437637
-3747.0,688,7066.305906
-3157.0,688,7080.432091
-3586.0,688,7093.892833
-3443.0,688,7110.691044
-3629.0,688,7123.373823
-3403.0,688,7136.776307
-3479.0,688,7154.771714
-3982.0,688,7167.441415
-3606.0,688,7180.069662
-4003.0,687,7197.073483
-3129.0,688,7209.611972
-3663.0,687,7222.414658
-3503.0,686,7239.534049
-3643.0,688,7252.279147
-3961.0,688,7265.53479
-3627.0,688,7283.278711
-3459.0,688,7296.169026
-3960.0,688,7308.759949
-3853.0,686,7325.624191
-3469.0,687,7338.215209
-3137.0,688,7350.677911
-3493.0,688,7367.967918
-3579.0,688,7380.553565
-3257.0,688,7393.159583
-3953.0,687,7410.109021
-3978.0,689,7422.68292
-3817.0,686,7435.464089
-3169.0,688,7452.268894
-3415.0,688,7464.962306
-3421.0,688,7477.510922
-3241.0,688,7494.189826
-3510.0,687,7509.343133
-3947.0,688,7523.497722
-3678.0,688,7542.869673
-4241.0,686,7557.468028
-3616.0,686,7570.916012
-3503.0,688,7587.845249
-3738.0,689,7600.577507
-3133.0,688,7617.423547
-3406.0,687,7629.980238
-3559.0,688,7643.276852
-3678.0,688,7661.733259
-3577.0,688,7674.793829
-3733.0,688,7688.982667
-3271.0,688,7709.79775
-4630.0,687,7724.201555
-3608.0,686,7737.897876
-3147.0,688,7754.694584
-3532.0,686,7767.277253
-3520.0,688,7780.190914
